iter	Passed	Remaining
0	1	103
1	1	89
2	2	81
3	3	73
4	3	73
5	4	73
6	5	72
7	6	71
8	7	70
9	7	68
10	8	67
11	9	66
12	9	66
13	10	65
14	11	64
15	12	64
16	12	63
17	13	62
18	14	61
19	15	60
20	15	59
21	16	59
22	17	58
23	18	57
24	18	56
25	19	55
26	20	54
27	20	53
28	21	52
29	22	52
30	23	51
31	23	50
32	24	49
33	25	48
34	25	47
35	26	47
36	27	46
37	28	46
38	29	45
39	30	45
40	30	44
41	31	43
42	31	42
43	32	41
44	33	40
45	34	40
46	34	39
47	35	38
48	36	37
49	36	36
50	37	36
51	38	35
52	39	34
53	39	34
54	40	33
55	41	32
56	41	31
57	42	31
58	44	30
59	45	30
60	45	29
61	46	28
62	47	28
63	48	27
64	49	26
65	50	25
66	50	24
67	51	24
68	52	23
69	52	22
70	53	21
71	54	21
72	55	20
73	55	19
74	56	18
75	57	18
76	58	17
77	59	16
78	59	15
79	60	15
80	61	14
81	62	13
82	63	12
83	64	12
84	64	11
85	65	10
86	66	9
87	67	9
88	68	8
89	68	7
90	69	6
91	69	6
92	70	5
93	71	4
94	72	3
95	73	3
96	74	2
97	75	1
98	75	0
99	76	0
