iter	Passed	Remaining
0	169	169188
1	171	85684
2	174	58046
3	180	45020
4	184	36618
5	187	31010
6	189	26905
7	193	23971
8	196	21657
9	199	19706
10	201	18085
11	203	16749
12	205	15636
13	207	14646
14	211	13866
15	213	13127
16	215	12487
17	217	11850
18	218	11272
19	220	10783
20	222	10389
21	224	9990
22	227	9670
23	230	9373
24	231	9035
25	233	8732
26	234	8441
27	235	8186
28	237	7966
29	240	7782
30	243	7596
31	246	7450
32	247	7256
33	248	7071
34	249	6892
35	251	6739
36	254	6620
37	256	6491
38	257	6349
39	261	6264
40	262	6135
41	263	6010
42	265	5913
43	267	5811
44	269	5710
45	270	5607
46	271	5508
47	272	5413
48	275	5340
49	276	5254
50	278	5183
51	279	5103
52	281	5033
53	283	4968
54	285	4899
55	286	4829
56	287	4761
57	289	4699
58	291	4647
59	292	4584
60	293	4523
61	295	4464
62	298	4432
63	299	4384
64	301	4330
65	302	4277
66	303	4229
67	305	4188
68	306	4141
69	308	4094
70	309	4055
71	311	4017
72	313	3984
73	315	3945
74	316	3908
75	318	3867
76	319	3829
77	321	3801
78	322	3764
79	324	3727
80	325	3690
81	326	3656
82	327	3618
83	329	3587
84	331	3564
85	332	3532
86	333	3503
87	335	3479
88	337	3449
89	338	3419
90	339	3392
91	340	3364
92	342	3338
93	344	3316
94	345	3290
95	346	3265
96	348	3240
97	349	3216
98	351	3195
99	352	3171
100	353	3147
101	354	3124
102	356	3100
103	357	3081
104	359	3060
105	360	3041
106	362	3023
107	363	3006
108	365	2990
109	367	2971
110	368	2952
111	369	2933
112	371	2915
113	373	2900
114	374	2883
115	377	2874
116	378	2856
117	381	2848
118	383	2838
119	384	2822
120	386	2805
121	387	2789
122	389	2773
123	390	2761
124	392	2746
125	394	2734
126	396	2722
127	397	2710
128	399	2697
129	401	2686
130	403	2679
131	406	2669
132	407	2659
133	410	2650
134	411	2639
135	413	2627
136	415	2618
137	418	2613
138	420	2602
139	422	2592
140	424	2587
141	425	2572
142	427	2560
143	428	2548
144	431	2543
145	434	2539
146	435	2528
147	437	2516
148	439	2507
149	441	2499
150	444	2496
151	446	2489
152	448	2481
153	451	2477
154	452	2468
155	455	2462
156	456	2452
157	458	2441
158	459	2431
159	461	2420
160	461	2407
161	463	2397
162	465	2388
163	466	2378
164	469	2375
165	471	2369
166	473	2360
167	474	2351
168	476	2343
169	478	2336
170	480	2327
171	481	2317
172	483	2309
173	486	2308
174	488	2302
175	489	2293
176	491	2287
177	493	2280
178	496	2275
179	498	2270
180	501	2268
181	503	2261
182	504	2252
183	505	2243
184	507	2237
185	510	2235
186	512	2228
187	514	2223
188	516	2217
189	518	2209
190	519	2201
191	521	2194
192	523	2188
193	525	2181
194	526	2173
195	527	2164
196	529	2156
197	531	2153
198	533	2146
199	536	2146
200	538	2141
201	540	2135
202	543	2133
203	546	2130
204	548	2126
205	549	2118
206	551	2110
207	552	2105
208	554	2099
209	556	2093
210	558	2087
211	560	2083
212	562	2080
213	564	2074
214	566	2068
215	568	2063
216	569	2056
217	572	2054
218	574	2048
219	576	2045
220	578	2038
221	579	2031
222	581	2026
223	585	2027
224	587	2022
225	590	2022
226	592	2018
227	594	2011
228	596	2007
229	597	2001
230	599	1995
231	601	1989
232	602	1982
233	603	1975
234	605	1972
235	607	1968
236	609	1963
237	611	1959
238	613	1954
239	615	1950
240	617	1946
241	619	1941
242	621	1937
243	623	1931
244	624	1925
245	626	1920
246	628	1917
247	630	1911
248	631	1905
249	633	1901
250	636	1898
251	637	1892
252	639	1886
253	640	1881
254	642	1877
255	645	1875
256	647	1872
257	650	1870
258	652	1867
259	654	1862
260	655	1856
261	657	1852
262	659	1847
263	662	1846
264	665	1844
265	667	1842
266	669	1839
267	671	1835
268	673	1830
269	676	1829
270	678	1825
271	681	1823
272	683	1818
273	685	1815
274	687	1811
275	689	1807
276	691	1805
277	693	1801
278	695	1798
279	698	1795
280	700	1791
281	702	1788
282	705	1786
283	707	1784
284	710	1781
285	711	1777
286	713	1771
287	714	1767
288	716	1763
289	719	1760
290	720	1755
291	722	1751
292	723	1746
293	725	1743
294	727	1739
295	729	1735
296	731	1731
297	733	1727
298	735	1724
299	737	1720
300	738	1715
301	741	1713
302	743	1710
303	745	1707
304	747	1704
305	749	1700
306	752	1699
307	754	1696
308	757	1693
309	759	1690
310	761	1686
311	763	1682
312	765	1679
313	767	1677
314	770	1675
315	772	1671
316	773	1667
317	775	1663
318	777	1660
319	779	1656
320	781	1652
321	783	1649
322	786	1648
323	787	1643
324	789	1639
325	790	1634
326	792	1631
327	795	1628
328	797	1626
329	799	1622
330	801	1619
331	802	1615
332	804	1611
333	806	1607
334	807	1603
335	810	1601
336	812	1599
337	815	1596
338	817	1594
339	818	1589
340	820	1585
341	822	1582
342	824	1579
343	827	1577
344	828	1573
345	830	1570
346	832	1566
347	834	1563
348	837	1561
349	839	1558
350	842	1557
351	844	1554
352	846	1550
353	847	1546
354	849	1543
355	851	1541
356	853	1537
357	855	1533
358	856	1529
359	858	1525
360	859	1522
361	861	1519
362	864	1516
